id;dcia;tipo;cuartel;calle_ofic;inters;altura;direcc;cp;tel;gestion;lon;lat
1;SECCION PALERMO;DESTACAMENTO;;GUATEMALA;;5966;5966 GUATEMALA;C1425BVP;4772-2222;Policía Federal Argentina;-58.4358;-34.5775
2;SECCION RIESGO FORESTAL VELEZ SARSFIELD;DESTACAMENTO;;RODO JOSE E.;;4474;4474 RODO JOSE E.;C1407HDR;4671-2222;Policía Federal Argentina;-58.4877;-34.6449
3;SECCION GER CABALLITO;DESTACAMENTO;;RIGLOS;;959;959 RIGLOS;C1424AFS;4921-2737;Policía Federal Argentina;-58.4354;-34.6303
4;SECCION GER SAAVEDRA;DESTACAMENTO;;JARAMILLO;;3551;3551 JARAMILLO;C1430AGC;4542-2222;Policía Federal Argentina;-58.4792;-34.5533
5;DIVISION CUARTEL I CORONEL J. M. CALAZA;CUARTEL;I;BELGRANO AV;;1547;1547 BELGRANO AV;C1093AAD;4370-5858;Policía Federal Argentina;-58.3881;-34.6133
6;DIVISION CUARTEL II PATRICIOS;CUARTEL;II;CASEROS;;2849;2849 CASEROS;C1264AAI;4943-2222;Policía Federal Argentina;-58.403;-34.6365
7;SECCION NUEVA POMPEYA;DESTACAMENTO;;SAENZ;;1475;1475 SAENZ;C1437DOG;4911-4852;Policía Federal Argentina;-58.417;-34.6587
8;DIVISION CUARTEL III BARRACAS;CUARTEL;III;BRANDSEN;;1046;1046 BRANDSEN;C1161ABD;4301-2222;Policía Federal Argentina;-58.3673;-34.6373
9;DIVISION CUARTEL IV RECOLETA;CUARTEL;IV;LAPRIDA;;1739;1739 LAPRIDA;C1425EKO;4826-9222;Policía Federal Argentina;-58.4024;-34.59
10;DIVISION CUARTEL V BELGRANO;CUARTEL;V;VUELTA DE OBLIGADO;;2254;2254 VUELTA DE OBLIGADO;C1428ADJ;4783-0820;Policía Federal Argentina;-58.4571;-34.5601
11;SECCION VILLA URQUIZA;DESTACAMENTO;;OLAZABAL;;5446;5446 OLAZABAL;C1431CGX;4521-2222;Policía Federal Argentina;-58.4899;-34.579
12;DIVISION CUARTEL VI VILLA CRESPO;CUARTEL;VI;CORRIENTES;;5340;5340 CORRIENTES;C1414AJT;4854-2222;Policía Federal Argentina;-58.4404;-34.5987
13;DIVISION CUARTEL VII FLORES;CUARTEL;VII;FALCON RAMON L.CNEL.;;2255;2255 FALCON RAMON L.CNEL.;C1406GNS;4632-2222;Policía Federal Argentina;-58.4601;-34.6292
14;DIVISION CUARTEL VIII NUEVA CHICAGO;CUARTEL;VIII;DE LA TORRE LISANDRO;;2830;2830 DE LA TORRE LISANDRO;C1440EDQ;4687-2222;Policía Federal Argentina;-58.4957;-34.666
15;DIVISION CUARTEL IX VERSAILLES;CUARTEL;IX;PORCEL DE PERALTA MANUEL;;730;730 PORCEL DE PERALTA MANUEL;C1408CBJ;4641-0326;Policía Federal Argentina;-58.5241;-34.6292
16;SECCION VILLA DEVOTO;DESTACAMENTO;;CUBAS JOSE;;4142;4142 CUBAS JOSE;C1419GOH;4501-2222;Policía Federal Argentina;-58.5155;-34.5983
17;SECCION LA BOCA;DESTACAMENTO;;BROWN ALTE.;PEDRO DE MENDOZA;0;BROWN ALTE. & DE MENDOZA PEDRO;C1159ABG;4301-2121;Policía Federal Argentina;-58.3574;-34.6381
18;DIVISION CUARTEL X LUGANO;CUARTEL;X;CAFAYATE;ANA DIAZ;0;CAFAYATE & ANA DIAZ;C1439FUT;4605-4242;Policía Federal Argentina;-58.4697;-34.6837
19;SECCION RETIRO;DESTACAMENTO;;TERMINAL DE OMNIBUS DE RETIRO;;0;TERMINAL DE OMNIBUS DE RETIRO;C1104ADU;4313-7343;Policía Federal Argentina;-58.3754;-34.5861
20;SECCION MISERERE;DESTACAMENTO;;PERON JUAN DOMINGO TTE GENERAL;;2930;2930 PERON JUAN DOMINGO TTE GENERAL;C1198AAD;4863-1144;Policía Federal Argentina;-58.4084;-34.6081
21;DIVISION CUARTEL XI ALBARIÑO;CUARTEL;XI;SANTANDER;;5955;5955 SANTANDER;C1439ATC;4601-8801;Policía Federal Argentina;-58.4863;-34.673
22;CUARTEL CENTRAL PREFECTURA NAVAL ARGENTINA;CUARTEL CENTRAL;;PREFECTURA NAVAL ARGENTINA;CASTILLO, RAMON S. P;0;PREFECTURA NAVAL ARGENTINA & CASTILLO RAMON S. `RES;C1104ACO;4576-7639;Prefectura Naval Argentina;-58.3751;-34.5812
23;DESTACAMENTO PREFECTURA NAVAL ARGENTINA;DESTACAMENTO;;ESPAÑA AV;RAWSON DE DELLEPIANE;0;ESPAÑA AV & RAWSON DE DELLEPIANE ELVIRA AV;C1107DBN;4576-7639;Prefectura Naval Argentina;-58.3565;-34.6185
24;VOLUNTARIO DE SAN TELMO PUERTO MADERO;VOLUNTARIOS;;BRASIL AV;PASEO COLON AV;0;BRASIL AV & PASEO COLON AV;C1063AAC;4307-3333;Voluntarios;-58.3677;-34.6251
25;VOLUNTARIOS VUELTA DE ROCHA;VOLUNTARIOS;;GARIBALDI;;2042;2042 GARIBALDI;C1167ACP;302-2222;Voluntarios;-58.3606;-34.6443
26;VOLUNTARIOS DE LA BOCA;VOLUNTARIOS;;BRANDSEN;;567;567 BRANDSEN;C1161AAK;4361-2222;Voluntarios;-58.3619;-34.6353
27;VOLUNTARIOS VILLA SOLDATI;VOLUNTARIOS;;TABARE;;3294;3294 TABARE;C1437FIT;4919-9999;Voluntarios;-58.4411;-34.6651
